match_uuid,Fecha,Evento / Liga,Lista,Versión,Ronda,Mazo del Oponente,Arquetipo,Resultado (W/L),Juegos Ganados,Juegos Perdidos,Salida / Robo (G1),Mulligans (Yo),Mulligans (Rival),Cartas Clave / MVP,Notas de Match / Sideboard,Reportado por,Fuente,Rival,Confianza
29dc7612-bb7c-4974-9ac8-7a475aa6f8d6,11/07/2026,Liga 1,Stock,Stock,1,Loki,Izzet Cori,W,2,0,Robo,0,0,,,feralo77,log,MNeon,85%
0115af07-1f16-4850-8811-0e57e8a3d72b,11/07/2026,Liga 1,Stock,Stock,2,Devoted,Devoted Combo,L,0,2,Robo,0,0,,Soy un paquete,feralo77,log,zturchan,94%
e4b090d8-9bf0-4a39-bcfe-703f18c56740,11/07/2026,Liga 1,Stock,Stock,3,Affinity,Izzet Affinity,L,0,2,Robo,0,0,,Paliza,feralo77,log,Dcal215,93%
b27b88d4-d70c-465f-b832-1fb1f6217358,11/07/2026,Liga 1,Stock,Stock,4,Broodscale,Broodscale,W,2,1,Robo,0,0,,,feralo77,log,chylz,100%
5f239dd1-82c8-4aa4-804b-ace012669679,11/07/2026,Liga 1,Stock,Stock,5,Dimir,Dimir Frog,W,2,0,Salida,0,0,,Se estanca en la segunda,feralo77,log,ilprofetaVDR,apunte
45370f5a-7496-4909-bc25-ef3c52e0373d,11/07/2026,Liga 2,Stock,Stock,1,Broodscale,Broodscale,L,0,2,Robo,0,0,,No juego muy bien el match,feralo77,log,DB_BaaL,100%
477dc805-7cc1-4060-aace-f97412484124,11/07/2026,Liga 2,Stock,Stock,2,Desconocido,Desconocido,W,1,0,Salida,1,1,,Concede,feralo77,log,Zorro7x4,fer
b3c6bda6-ea72-42b4-994b-3dec7ec09c21,11/07/2026,Liga 2,Stock,Stock,3,Boros,Boros Energy,W,2,1,Robo,0,0,Snare,,feralo77,log,Cesc_95,100%
2e4ceb70-379b-4be5-996b-2a7892581ae6,12/07/2026,Liga 2,Stock,Stock,4,Vivoras,Sultai Midrange,L,1,2,Robo,0,2,,Tercera no tercera tierra,feralo77,log,Ciraris,100%
12341f9b-5f8f-46d6-83dc-45452ecc0109,12/07/2026,Liga 2,Stock,Stock,5,Izzet,Izzet Prowess,L,1,2,Salida,0,1,,Me gana las 2 con el doble strike,feralo77,log,beetea,92%
6b307f87-0c75-4eca-9302-56075da4dba4,13/07/2026,Liga 3,Stock,Stock,1,MonoB Reanimator,Grixis Reanimator,W,2,1,Salida,1,0,,,feralo77,log,Zores,67%
97933634-bc3e-4f9d-b425-a72418449d67,14/07/2026,Liga 3,Stock,Stock,2,Neoform,Neoform,L,1,2,Robo,0,0,primera grisel al 2,,feralo77,log,Asmodai02,100%
c0725c15-1759-408e-8b7c-b7c9c427edbd,18/07/2026,Liga 3,Stock,Stock,3,Ponza,Boros Ponza,W,2,0,Robo,0,0,,,feralo77,log,Jsph,88%
7a1d37f5-097e-4d5c-b98a-6cac99874573,18/07/2026,Liga 3,Stock,Stock,4,Gorys,Esper Goryo's,L,0,2,Robo,0,0,,No le quito bien el atraxa,feralo77,log,kentaro_hokori,93%
e6102623-accf-4ddc-b334-a80f72bb542e,18/07/2026,Liga 3,Stock,Stock,5,Izzet,Izzet Prowess,L,0,2,Robo,1,0,,,feralo77,log,101DeMoNS,100%
3ce63980-35b8-445a-ac25-c9f04ad0aa35,18/07/2026,Liga 4,PT,Aggro,1,Sam,Sam Combo,L,1,2,Robo,0,1,soy malo,,feralo77,log,TheeMacSheezy,94%
d816e48c-41ed-4a2d-b209-fc3ea83164b9,18/07/2026,Liga 4,PT,Aggro,2,Broodscale,Broodscale,W,2,1,Salida,0,0,,,feralo77,log,InspiringPresence,100%
bb7b0286-7f95-43a9-ba8e-a7846e11993a,18/07/2026,Liga 4,PT,Aggro,3,Grixis Reanimator,Grixis Reanimator,W,1,0,Robo,0,1,,,feralo77,log,Durrrr89,65%
c8505bf6-1d70-4e4e-9cca-44f07c66febf,18/07/2026,Liga 4,PT,Aggro,4,Dimir,Dimir Frog,L,0,2,Robo,0,0,Lista con namor y 2000 counter,,feralo77,log,SeriousSquid,56%
2c4fe934-9d9d-4fa6-9cd3-b322ac2eb999,18/07/2026,Liga 4,PT,Aggro,5,UW,Azorius Control,W,2,0,Robo,0,0,A XISPAS,,feralo77,log,Jijito,71%
1c723cb8-94a5-49ed-8560-1a230db0c41c,20/07/2026,Liga 5,2.0,Stock,1,Through the Breach,Through the Breach,W,2,1,Salida,0,0,"Duros, la ultima a xispas",,feralo77,log,RoccoCocco,100%
f6e0b3ae-3ac6-4ed7-b23d-b0eab42b927c,21/07/2026,Liga 5,2.0,Stock,2,MonoB Reanimator,Grixis Reanimator,L,1,2,Robo,0,0,Tendria que haber tirado mulligan en la tercera,,feralo77,log,eckschin,93%
d5330261-a86d-4d6f-8db2-dc60547443a3,21/07/2026,Liga 5,2.0,Stock,3,MonoR Artifacts,MonoR Artifacts,L,0,2,Robo,0,0,Me cruje,,feralo77,log,CrusherBotBG,94%
dc40834c-85ad-4880-b63b-c17e91264235,21/07/2026,Liga 5,2.0,Stock,4,Goryos,Esper Goryo's,L,1,2,Robo,0,1,hUMILADO,,feralo77,log,vinnyrussian123,93%
e374128a-368c-4536-aafc-cdc89ce9d702,22/07/2026,Liga 5,2.0,Stock,5,Broodscale,Broodscale,L,0,2,Salida,1,1,,,feralo77,log,ls149950,48%
c4d81339-5db2-4754-a5ae-35e31346a7e0,23/07/2026,Liga 6,Basics,Basics,1,Amulet,Amulet Titan,L,1,2,Robo,0,2,,,feralo77,log,CacZarn,100%
bc4fd619-5f52-4f6d-b849-051290198cf5,23/07/2026,Liga 6,Basics,Basics,2,Ponza,Boros Ponza,W,2,0,Salida,1,0,,,feralo77,log,Mactavor,92%
26d69ccb-01ca-4680-b5df-ff259858bdcc,23/07/2026,Liga 6,Basics,Basics,3,URb,URb,W,2,1,Robo,0,1,,https://www.mtggoldfish.com/deck/7886860#online,feralo77,log,OafMcNamara,apunte
517eaca8-f07d-4b82-9c72-2484eae81399,24/07/2026,Liga 6,Basics,Basics,4,Boros,Boros Energy,L,0,2,Robo,0,1,,,feralo77,log,Wbez,100%
7f4280f9-0e13-4865-b0cf-f7e0da9f41c8,24/07/2026,Liga 6,Basics,Basics,5,Boros,Boros Energy,W,2,1,Salida,1,0,,,feralo77,log,JohnJonis,100%
43708187-1e4d-4704-9912-3b13b0be314e,25/07/2026,Liga 7,Basics,Basics,1,Amulet,Amulet Titan,L,1,2,Robo,0,0,,,feralo77,log,AndySCWilson,100%
996d868d-1b52-4100-baf0-993f7fb6ea70,25/07/2026,Liga 7,Basics,Basics,2,Hollow One,Hollow One,W,2,1,Salida,0,0,,,feralo77,log,Iceblade908,100%
d1d502df-3f42-46bf-91e0-0c70195d7729,26/07/2026,Liga 7,Basics,Basics,3,Amulet,Amulet Titan,W,2,0,Salida,0,0,,,feralo77,log,PuntThenWhine,91%
34899403-d4a3-4e09-b676-6b66c969f0dc,26/07/2026,Liga 7,Basics,Basics,4,Boros,Boros Energy,W,2,0,Salida,0,0,,,feralo77,log,Reaperss,100%
b40dc27a-7b39-4575-8c5a-d6531fbd97d0,26/07/2026,Liga 7,Basics,Basics,5,Dimir Frog,Dimir Frog,L,0,2,Robo,1,0,,,feralo77,log,Ghost11157,56%
ad10d270-b2bf-46ce-b675-6e882ef35b68,27/07/2026,Liga 8,PT,Aggro,1,Neoform,Neoform,L,0,2,Robo,1,0,,,feralo77,log,NJGB1,100%
187e18dd-196f-4024-bad1-1ababc699072,27/07/2026,Liga 8,PT,Aggro,2,Storm,Ruby Storm,W,2,0,Salida,0,0,,,feralo77,log,haoqinglangou,97%
200fc873-e94c-4527-8d9b-abbabdb69a66,27/07/2026,Liga 8,PT,Aggro,3,Living End,Living End,L,0,2,Salida,0,0,,,feralo77,log,bellfy,62%
830999b5-951e-4fc4-8bcb-e1e3626d07c8,27/07/2026,Liga 8,PT,Aggro,4,Storm,Ruby Storm,W,2,0,Robo,0,0,,,feralo77,log,liuyuchen,86%
c848d8d2-0e77-401a-8e8b-51808077084b,27/07/2026,Liga 8,PT,Aggro,5,Devoted Combo,Devoted Combo,W,2,1,Salida,0,0,,,feralo77,log,ulbabrabal,92%
147a9da5-439e-4d46-b6a3-0f81f4b600fc,11/08/2026,Liga 9,Stock,Stock,1,The Rack,The Rack,W,2,1,Salida,0,0,,,feralo77,log,Jsnyder207,apunte
fc820546-7345-414f-855c-20f161079428,11/08/2026,Liga 9,Stock,Stock,2,Goryos,Esper Goryo's,L,0,2,Salida,0,2,,,feralo77,log,Grischdl,93%
1f2cf4d9-12e1-46cc-b506-0da6d3098782,11/08/2026,Liga 9,Stock,Stock,3,Eldrazi,Eldrazi,L,0,2,Robo,0,0,,,feralo77,log,Lurch7034,93%
9746d38e-00cf-40ab-a45f-9b3570c27ee3,11/08/2026,Liga 9,Stock,Stock,4,Sam,Devoted Combo,W,2,0,Salida,0,0,,,feralo77,log,Trailovsky,62%
